title,olympiad,year,grade,num,problem_text_ch,problem_solution_ch
LV.AMO.2003.11.2,LV.AMO,2003,11,2,256,547
LV.AMO.2003.11.3,LV.AMO,2003,11,3,72,359
LV.AMO.2003.11.4,LV.AMO,2003,11,4,218,572
LV.AMO.2003.11.5,LV.AMO,2003,11,5,280,1194
LV.AMO.2003.12.1,LV.AMO,2003,12,1,188,694
LV.AMO.2003.12.2,LV.AMO,2003,12,2,196,399
LV.AMO.2003.12.3,LV.AMO,2003,12,3,289,767
LV.AMO.2003.12.4,LV.AMO,2003,12,4,129,528
LV.AMO.2003.12.5,LV.AMO,2003,12,5,381,1732
LV.AMO.2005.5.1,LV.AMO,2005,5,1,365,329
LV.AMO.2005.5.2,LV.AMO,2005,5,2,287,720
LV.AMO.2005.5.3,LV.AMO,2005,5,3,253,238
LV.AMO.2005.5.4,LV.AMO,2005,5,4,331,473
LV.AMO.2005.5.5,LV.AMO,2005,5,5,196,53
LV.AMO.2005.6.1,LV.AMO,2005,6,1,94,72
LV.AMO.2005.6.2,LV.AMO,2005,6,2,246,261
LV.AMO.2005.6.3,LV.AMO,2005,6,3,192,703
LV.AMO.2005.6.4,LV.AMO,2005,6,4,178,435
LV.AMO.2005.6.5,LV.AMO,2005,6,5,271,687
LV.AMO.2005.7.1,LV.AMO,2005,7,1,184,365
LV.AMO.2005.7.2,LV.AMO,2005,7,2,153,265
LV.AMO.2005.7.3,LV.AMO,2005,7,3,224,469
LV.AMO.2005.7.4,LV.AMO,2005,7,4,113,839
LV.AMO.2005.7.5,LV.AMO,2005,7,5,310,977
LV.AMO.2005.8.1,LV.AMO,2005,8,1,192,174
LV.AMO.2005.8.2,LV.AMO,2005,8,2,233,229
LV.AMO.2005.8.3,LV.AMO,2005,8,3,165,1619
LV.AMO.2005.8.4,LV.AMO,2005,8,4,226,1190
LV.AMO.2005.8.5,LV.AMO,2005,8,5,311,543
LV.AMO.2005.9.1,LV.AMO,2005,9,1,138,308
LV.AMO.2005.9.2,LV.AMO,2005,9,2,124,612
LV.AMO.2005.9.3,LV.AMO,2005,9,3,366,689
LV.AMO.2005.9.4,LV.AMO,2005,9,4,129,703
LV.AMO.2005.9.5,LV.AMO,2005,9,5,576,917
LV.AMO.2005.10.1,LV.AMO,2005,10,1,80,150
LV.AMO.2005.10.2,LV.AMO,2005,10,2,284,321
LV.AMO.2005.10.3,LV.AMO,2005,10,3,82,391
LV.AMO.2005.10.4,LV.AMO,2005,10,4,238,969
LV.AMO.2005.10.5,LV.AMO,2005,10,5,407,1386
LV.AMO.2005.11.1,LV.AMO,2005,11,1,86,506
LV.AMO.2005.11.2,LV.AMO,2005,11,2,199,643
LV.AMO.2005.11.3,LV.AMO,2005,11,3,281,1195
LV.AMO.2005.11.4,LV.AMO,2005,11,4,135,662
LV.AMO.2005.11.5,LV.AMO,2005,11,5,572,1827
LV.AMO.2005.12.1,LV.AMO,2005,12,1,196,399
LV.AMO.2005.12.2,LV.AMO,2005,12,2,186,335
LV.AMO.2005.12.3,LV.AMO,2005,12,3,192,1748
LV.AMO.2005.12.4,LV.AMO,2005,12,4,392,2104
LV.AMO.2005.12.5,LV.AMO,2005,12,5,484,614
LV.AMO.2016.5.1,LV.AMO,2016,5,1,83,163
LV.AMO.2016.5.2,LV.AMO,2016,5,2,86,312
LV.AMO.2016.5.3,LV.AMO,2016,5,3,193,71
LV.AMO.2016.5.4,LV.AMO,2016,5,4,182,49
LV.AMO.2016.5.5,LV.AMO,2016,5,5,173,342
LV.AMO.2016.6.1,LV.AMO,2016,6,1,175,462
LV.AMO.2016.6.2,LV.AMO,2016,6,2,86,367
LV.AMO.2016.6.3,LV.AMO,2016,6,3,415,1090
LV.AMO.2016.6.4,LV.AMO,2016,6,4,457,242
LV.AMO.2016.6.5,LV.AMO,2016,6,5,197,49
LV.AMO.2016.7.1,LV.AMO,2016,7,1,227,536
LV.AMO.2016.7.2,LV.AMO,2016,7,2,259,671
LV.AMO.2016.7.3,LV.AMO,2016,7,3,218,903
LV.AMO.2016.7.4,LV.AMO,2016,7,4,640,642
LV.AMO.2016.7.5,LV.AMO,2016,7,5,430,319
LV.AMO.2016.8.1,LV.AMO,2016,8,1,92,387
LV.AMO.2016.8.2,LV.AMO,2016,8,2,72,521
LV.AMO.2016.8.3,LV.AMO,2016,8,3,126,1038
LV.AMO.2016.8.4,LV.AMO,2016,8,4,201,515
LV.AMO.2016.8.5,LV.AMO,2016,8,5,629,681
LV.AMO.2016.9.1,LV.AMO,2016,9,1,51,197
LV.AMO.2016.9.2,LV.AMO,2016,9,2,76,540
LV.AMO.2016.9.3,LV.AMO,2016,9,3,214,1087
LV.AMO.2016.9.4,LV.AMO,2016,9,4,194,1002
LV.AMO.2016.9.5,LV.AMO,2016,9,5,349,898
LV.AMO.2016.10.1,LV.AMO,2016,10,1,287,500
LV.AMO.2016.10.2,LV.AMO,2016,10,2,77,1195
LV.AMO.2016.10.3,LV.AMO,2016,10,3,184,625
LV.AMO.2016.10.4,LV.AMO,2016,10,4,294,551
LV.AMO.2016.10.5,LV.AMO,2016,10,5,224,535
LV.AMO.2016.11.1,LV.AMO,2016,11,1,112,362
LV.AMO.2016.11.2,LV.AMO,2016,11,2,113,823
LV.AMO.2016.11.3,LV.AMO,2016,11,3,177,640
LV.AMO.2016.11.4,LV.AMO,2016,11,4,301,1074
LV.AMO.2016.11.5,LV.AMO,2016,11,5,428,442
LV.AMO.2016.12.1,LV.AMO,2016,12,1,111,527
LV.AMO.2016.12.2,LV.AMO,2016,12,2,85,365
LV.AMO.2016.12.3,LV.AMO,2016,12,3,136,639
LV.AMO.2016.12.4,LV.AMO,2016,12,4,233,1087
LV.AMO.2016.12.5,LV.AMO,2016,12,5,401,458
LV.AMO.2011.5.1,LV.AMO,2011,5,1,287,780
LV.AMO.2011.5.2,LV.AMO,2011,5,2,304,404
LV.AMO.2011.5.3,LV.AMO,2011,5,3,62,55
LV.AMO.2011.5.4,LV.AMO,2011,5,4,202,413
LV.AMO.2011.5.5,LV.AMO,2011,5,5,331,68
LV.AMO.2011.6.1,LV.AMO,2011,6,1,106,226
LV.AMO.2011.6.2,LV.AMO,2011,6,2,220,413
LV.AMO.2011.6.3,LV.AMO,2011,6,3,265,614
LV.AMO.2011.6.4,LV.AMO,2011,6,4,444,365
LV.AMO.2011.6.5,LV.AMO,2011,6,5,450,691
LV.AMO.2011.7.1,LV.AMO,2011,7,1,354,1361
LV.AMO.2011.7.2,LV.AMO,2011,7,2,441,685
LV.AMO.2011.7.3,LV.AMO,2011,7,3,112,58
LV.AMO.2011.7.4,LV.AMO,2011,7,4,166,99
LV.AMO.2011.7.5,LV.AMO,2011,7,5,150,177
LV.AMO.2011.8.1,LV.AMO,2011,8,1,193,89
LV.AMO.2011.8.2,LV.AMO,2011,8,2,190,455
LV.AMO.2011.8.3,LV.AMO,2011,8,3,208,375
LV.AMO.2011.8.4,LV.AMO,2011,8,4,190,826
LV.AMO.2011.8.5,LV.AMO,2011,8,5,442,512
LV.AMO.2011.9.1,LV.AMO,2011,9,1,126,917
LV.AMO.2011.9.2,LV.AMO,2011,9,2,190,498
LV.AMO.2011.9.3,LV.AMO,2011,9,3,252,333
LV.AMO.2011.9.4,LV.AMO,2011,9,4,151,246
LV.AMO.2011.9.5,LV.AMO,2011,9,5,489,368
LV.AMO.2011.10.1,LV.AMO,2011,10,1,135,738
LV.AMO.2011.10.2,LV.AMO,2011,10,2,241,458
LV.AMO.2011.10.3,LV.AMO,2011,10,3,163,1114
LV.AMO.2011.10.4,LV.AMO,2011,10,4,156,519
LV.AMO.2011.10.5,LV.AMO,2011,10,5,393,433
LV.AMO.2011.11.1,LV.AMO,2011,11,1,324,926
LV.AMO.2011.11.2,LV.AMO,2011,11,2,319,726
LV.AMO.2011.11.3,LV.AMO,2011,11,3,216,730
LV.AMO.2011.11.4,LV.AMO,2011,11,4,243,624
LV.AMO.2011.11.5,LV.AMO,2011,11,5,170,654
LV.AMO.2011.12.1,LV.AMO,2011,12,1,230,1280
LV.AMO.2011.12.2,LV.AMO,2011,12,2,78,1785
LV.AMO.2011.12.3,LV.AMO,2011,12,3,166,985
LV.AMO.2011.12.4,LV.AMO,2011,12,4,148,37
LV.AMO.2011.12.5,LV.AMO,2011,12,5,94,463
LV.AMO.2018.5.1,LV.AMO,2018,5,1,322,386
LV.AMO.2018.5.2,LV.AMO,2018,5,2,370,1027
LV.AMO.2018.5.3,LV.AMO,2018,5,3,203,57
LV.AMO.2018.5.4,LV.AMO,2018,5,4,413,1120
LV.AMO.2018.5.5,LV.AMO,2018,5,5,327,905
LV.AMO.2018.6.1,LV.AMO,2018,6,1,248,439
LV.AMO.2018.6.2,LV.AMO,2018,6,2,398,1119
LV.AMO.2018.6.3,LV.AMO,2018,6,3,230,228
LV.AMO.2018.6.4,LV.AMO,2018,6,4,227,75
LV.AMO.2018.6.5,LV.AMO,2018,6,5,802,2271
LV.AMO.2018.7.1,LV.AMO,2018,7,1,101,758
LV.AMO.2018.7.2,LV.AMO,2018,7,2,243,1227
LV.AMO.2018.7.3,LV.AMO,2018,7,3,109,227
LV.AMO.2018.7.4,LV.AMO,2018,7,4,99,246
LV.AMO.2018.7.5,LV.AMO,2018,7,5,277,815
LV.AMO.2018.8.1,LV.AMO,2018,8,1,122,504
LV.AMO.2018.8.2,LV.AMO,2018,8,2,200,666
LV.AMO.2018.8.3,LV.AMO,2018,8,3,187,848
LV.AMO.2018.8.4,LV.AMO,2018,8,4,401,904
LV.AMO.2018.8.5,LV.AMO,2018,8,5,325,1189
LV.AMO.2018.9.1,LV.AMO,2018,9,1,171,851
LV.AMO.2018.9.2,LV.AMO,2018,9,2,276,1296
LV.AMO.2018.9.3,LV.AMO,2018,9,3,242,563
LV.AMO.2018.9.4,LV.AMO,2018,9,4,110,878
LV.AMO.2018.9.5,LV.AMO,2018,9,5,219,1502
LV.AMO.2018.10.1,LV.AMO,2018,10,1,109,2258
LV.AMO.2018.10.2,LV.AMO,2018,10,2,270,1223
LV.AMO.2018.10.3,LV.AMO,2018,10,3,211,565
LV.AMO.2018.10.4,LV.AMO,2018,10,4,71,3965
LV.AMO.2018.10.5,LV.AMO,2018,10,5,335,1184
LV.AMO.2018.11.1,LV.AMO,2018,11,1,105,1135
LV.AMO.2018.11.2,LV.AMO,2018,11,2,262,1123
LV.AMO.2018.11.3,LV.AMO,2018,11,3,272,704
LV.AMO.2018.11.4,LV.AMO,2018,11,4,68,1559
LV.AMO.2018.11.5,LV.AMO,2018,11,5,104,1403
LV.AMO.2018.12.1,LV.AMO,2018,12,1,74,980
LV.AMO.2018.12.2,LV.AMO,2018,12,2,226,1111
LV.AMO.2018.12.3,LV.AMO,2018,12,3,367,1034
LV.AMO.2018.12.4,LV.AMO,2018,12,4,154,1976
LV.AMO.2018.12.5,LV.AMO,2018,12,5,384,1473
LV.AMO.2019.5.1,LV.AMO,2019,5,1,393,798
LV.AMO.2019.5.2,LV.AMO,2019,5,2,349,597
LV.AMO.2019.5.3,LV.AMO,2019,5,3,109,58
LV.AMO.2019.5.4,LV.AMO,2019,5,4,195,616
LV.AMO.2019.5.5,LV.AMO,2019,5,5,193,774
LV.AMO.2019.6.1,LV.AMO,2019,6,1,119,1439
LV.AMO.2019.6.2,LV.AMO,2019,6,2,307,860
LV.AMO.2019.6.3,LV.AMO,2019,6,3,111,732
LV.AMO.2019.6.4,LV.AMO,2019,6,4,202,144
LV.AMO.2019.6.5,LV.AMO,2019,6,5,123,905
LV.AMO.2019.7.1,LV.AMO,2019,7,1,183,175
LV.AMO.2019.7.2,LV.AMO,2019,7,2,308,748
LV.AMO.2019.7.3,LV.AMO,2019,7,3,224,549
LV.AMO.2019.7.4,LV.AMO,2019,7,4,217,164
LV.AMO.2019.7.5,LV.AMO,2019,7,5,242,1554
LV.AMO.2019.8.1,LV.AMO,2019,8,1,298,1922
LV.AMO.2019.8.2,LV.AMO,2019,8,2,314,422
LV.AMO.2019.8.3,LV.AMO,2019,8,3,183,492
LV.AMO.2019.8.4,LV.AMO,2019,8,4,216,1010
LV.AMO.2019.8.5,LV.AMO,2019,8,5,276,1705
LV.AMO.2019.9.1,LV.AMO,2019,9,1,133,927
LV.AMO.2019.9.2,LV.AMO,2019,9,2,573,663
LV.AMO.2019.9.3,LV.AMO,2019,9,3,394,1423
LV.AMO.2019.9.4,LV.AMO,2019,9,4,304,1425
LV.AMO.2019.9.5,LV.AMO,2019,9,5,197,1112
LV.AMO.2019.10.1,LV.AMO,2019,10,1,118,916
LV.AMO.2019.10.2,LV.AMO,2019,10,2,287,583
LV.AMO.2019.10.3,LV.AMO,2019,10,3,239,644
LV.AMO.2019.10.4,LV.AMO,2019,10,4,86,1222
LV.AMO.2019.10.5,LV.AMO,2019,10,5,271,1854
LV.AMO.2019.11.1,LV.AMO,2019,11,1,111,642
LV.AMO.2019.11.2,LV.AMO,2019,11,2,394,1326
LV.AMO.2019.11.3,LV.AMO,2019,11,3,320,1152
LV.AMO.2019.11.4,LV.AMO,2019,11,4,130,1809
LV.AMO.2019.11.5,LV.AMO,2019,11,5,157,945
LV.AMO.2019.12.1,LV.AMO,2019,12,1,162,324
LV.AMO.2019.12.2,LV.AMO,2019,12,2,394,1737
LV.AMO.2019.12.3,LV.AMO,2019,12,3,224,1009
LV.AMO.2019.12.4,LV.AMO,2019,12,4,201,2042
LV.AMO.2019.12.5,LV.AMO,2019,12,5,331,1910
LV.AMO.2010.5.1,LV.AMO,2010,5,1,376,865
LV.AMO.2010.5.2,LV.AMO,2010,5,2,120,46
LV.AMO.2010.5.3,LV.AMO,2010,5,3,304,403
LV.AMO.2010.5.4,LV.AMO,2010,5,4,737,1325
LV.AMO.2010.5.5,LV.AMO,2010,5,5,354,95
LV.AMO.2010.6.1,LV.AMO,2010,6,1,196,538
LV.AMO.2010.6.2,LV.AMO,2010,6,2,156,28
LV.AMO.2010.6.3,LV.AMO,2010,6,3,450,579
LV.AMO.2010.6.4,LV.AMO,2010,6,4,445,255
LV.AMO.2010.6.5,LV.AMO,2010,6,5,414,894
LV.AMO.2010.7.1,LV.AMO,2010,7,1,309,1004
LV.AMO.2010.7.2,LV.AMO,2010,7,2,127,877
LV.AMO.2010.7.3,LV.AMO,2010,7,3,336,182
LV.AMO.2010.7.4,LV.AMO,2010,7,4,318,638
LV.AMO.2010.7.5,LV.AMO,2010,7,5,358,872
LV.AMO.2010.8.1,LV.AMO,2010,8,1,213,119
LV.AMO.2010.8.2,LV.AMO,2010,8,2,273,1886
LV.AMO.2010.8.3,LV.AMO,2010,8,3,124,1874
LV.AMO.2010.8.4,LV.AMO,2010,8,4,297,2244
LV.AMO.2010.8.5,LV.AMO,2010,8,5,423,413
LV.AMO.2010.9.1,LV.AMO,2010,9,1,222,778
LV.AMO.2010.9.2,LV.AMO,2010,9,2,188,1364
LV.AMO.2010.9.3,LV.AMO,2010,9,3,268,493
LV.AMO.2010.9.4,LV.AMO,2010,9,4,421,1510
LV.AMO.2010.9.5,LV.AMO,2010,9,5,536,362
LV.AMO.2010.10.1,LV.AMO,2010,10,1,208,405
LV.AMO.2010.10.2,LV.AMO,2010,10,2,190,1111
LV.AMO.2010.10.3,LV.AMO,2010,10,3,392,1435
LV.AMO.2010.10.4,LV.AMO,2010,10,4,135,1080
LV.AMO.2010.10.5,LV.AMO,2010,10,5,424,1402
LV.AMO.2010.11.1,LV.AMO,2010,11,1,309,1932
LV.AMO.2010.11.2,LV.AMO,2010,11,2,161,479
LV.AMO.2010.11.3,LV.AMO,2010,11,3,193,709
LV.AMO.2010.11.4,LV.AMO,2010,11,4,410,2057
LV.AMO.2010.11.5,LV.AMO,2010,11,5,285,829
LV.AMO.2010.12.1,LV.AMO,2010,12,1,82,1342
LV.AMO.2010.12.2,LV.AMO,2010,12,2,322,701
LV.AMO.2010.12.3,LV.AMO,2010,12,3,167,435
LV.AMO.2010.12.4,LV.AMO,2010,12,4,228,637
LV.AMO.2010.12.5,LV.AMO,2010,12,5,288,598
LV.AMO.2017.5.1,LV.AMO,2017,5,1,391,1547
LV.AMO.2017.5.2,LV.AMO,2017,5,2,233,466
LV.AMO.2017.5.3,LV.AMO,2017,5,3,327,334
LV.AMO.2017.5.4,LV.AMO,2017,5,4,256,638
LV.AMO.2017.5.5,LV.AMO,2017,5,5,211,1802
LV.AMO.2017.6.1,LV.AMO,2017,6,1,258,293
LV.AMO.2017.6.2,LV.AMO,2017,6,2,255,323
LV.AMO.2017.6.3,LV.AMO,2017,6,3,237,974
LV.AMO.2017.6.4,LV.AMO,2017,6,4,644,958
LV.AMO.2017.6.5,LV.AMO,2017,6,5,135,511
LV.AMO.2017.7.1,LV.AMO,2017,7,1,256,410
LV.AMO.2017.7.2,LV.AMO,2017,7,2,325,399
LV.AMO.2017.7.3,LV.AMO,2017,7,3,268,489
LV.AMO.2017.7.4,LV.AMO,2017,7,4,659,508
LV.AMO.2017.7.5,LV.AMO,2017,7,5,114,797
LV.AMO.2017.8.1,LV.AMO,2017,8,1,136,500
LV.AMO.2017.8.2,LV.AMO,2017,8,2,253,1073
LV.AMO.2017.8.3,LV.AMO,2017,8,3,264,664
LV.AMO.2017.8.4,LV.AMO,2017,8,4,508,1884
LV.AMO.2017.8.5,LV.AMO,2017,8,5,89,484
LV.AMO.2017.9.1,LV.AMO,2017,9,1,142,593
LV.AMO.2017.9.2,LV.AMO,2017,9,2,74,485
LV.AMO.2017.9.3,LV.AMO,2017,9,3,261,2264
LV.AMO.2017.9.4,LV.AMO,2017,9,4,401,1075
LV.AMO.2017.9.5,LV.AMO,2017,9,5,71,1336
LV.AMO.2017.10.1,LV.AMO,2017,10,1,184,1148
LV.AMO.2017.10.2,LV.AMO,2017,10,2,127,1303
LV.AMO.2017.10.3,LV.AMO,2017,10,3,185,3262
LV.AMO.2017.10.4,LV.AMO,2017,10,4,410,656
LV.AMO.2017.10.5,LV.AMO,2017,10,5,119,914
LV.AMO.2017.11.1,LV.AMO,2017,11,1,54,501
LV.AMO.2017.11.2,LV.AMO,2017,11,2,197,541
LV.AMO.2017.11.3,LV.AMO,2017,11,3,336,1116
LV.AMO.2017.11.4,LV.AMO,2017,11,4,232,1427
LV.AMO.2017.11.5,LV.AMO,2017,11,5,314,570
LV.AMO.2017.12.1,LV.AMO,2017,12,1,116,349
LV.AMO.2017.12.2,LV.AMO,2017,12,2,110,486
LV.AMO.2017.12.3,LV.AMO,2017,12,3,306,2044
LV.AMO.2017.12.4,LV.AMO,2017,12,4,330,4875
LV.AMO.2017.12.5,LV.AMO,2017,12,5,308,1185
LV.AMO.2009.5.1,LV.AMO,2009,5,1,303,277
LV.AMO.2009.5.2,LV.AMO,2009,5,2,304,55
LV.AMO.2009.5.3,LV.AMO,2009,5,3,356,46
LV.AMO.2009.5.4,LV.AMO,2009,5,4,304,250
LV.AMO.2009.5.5,LV.AMO,2009,5,5,450,430
LV.AMO.2009.6.1,LV.AMO,2009,6,1,221,297
LV.AMO.2009.6.2,LV.AMO,2009,6,2,332,189
LV.AMO.2009.6.3,LV.AMO,2009,6,3,248,223
LV.AMO.2009.6.4,LV.AMO,2009,6,4,609,360
LV.AMO.2009.6.5,LV.AMO,2009,6,5,450,578
LV.AMO.2009.7.1,LV.AMO,2009,7,1,142,279
LV.AMO.2009.7.2,LV.AMO,2009,7,2,271,854
LV.AMO.2009.7.3,LV.AMO,2009,7,3,226,907
LV.AMO.2009.7.4,LV.AMO,2009,7,4,129,203
LV.AMO.2009.7.5,LV.AMO,2009,7,5,310,588
LV.AMO.2009.8.1,LV.AMO,2009,8,1,148,162
LV.AMO.2009.8.2,LV.AMO,2009,8,2,417,436
LV.AMO.2009.8.3,LV.AMO,2009,8,3,161,267
LV.AMO.2009.8.4,LV.AMO,2009,8,4,598,761
LV.AMO.2009.8.5,LV.AMO,2009,8,5,349,346
LV.AMO.2009.9.1,LV.AMO,2009,9,1,176,165
LV.AMO.2009.9.2,LV.AMO,2009,9,2,88,300
LV.AMO.2009.9.3,LV.AMO,2009,9,3,426,98
LV.AMO.2009.9.4,LV.AMO,2009,9,4,257,468
LV.AMO.2009.9.5,LV.AMO,2009,9,5,492,212
LV.AMO.2009.10.1,LV.AMO,2009,10,1,180,304
LV.AMO.2009.10.2,LV.AMO,2009,10,2,244,267
LV.AMO.2009.10.3,LV.AMO,2009,10,3,390,507
LV.AMO.2009.10.4,LV.AMO,2009,10,4,131,293
LV.AMO.2009.10.5,LV.AMO,2009,10,5,343,353
LV.AMO.2009.11.1,LV.AMO,2009,11,1,139,607
LV.AMO.2009.11.2,LV.AMO,2009,11,2,383,604
LV.AMO.2009.11.3,LV.AMO,2009,11,3,135,417
LV.AMO.2009.11.4,LV.AMO,2009,11,4,349,704
LV.AMO.2009.11.5,LV.AMO,2009,11,5,153,475
LV.AMO.2009.12.1,LV.AMO,2009,12,1,312,368
LV.AMO.2009.12.2,LV.AMO,2009,12,2,81,204
LV.AMO.2009.12.3,LV.AMO,2009,12,3,204,725
LV.AMO.2009.12.4,LV.AMO,2009,12,4,172,555
LV.AMO.2009.12.5,LV.AMO,2009,12,5,294,605
LV.AMO.2007.5.1,LV.AMO,2007,5,1,189,597
LV.AMO.2007.5.2,LV.AMO,2007,5,2,238,729
LV.AMO.2007.5.3,LV.AMO,2007,5,3,303,264
LV.AMO.2007.5.4,LV.AMO,2007,5,4,278,522
LV.AMO.2007.5.5,LV.AMO,2007,5,5,228,366
LV.AMO.2007.6.1,LV.AMO,2007,6,1,188,80
LV.AMO.2007.6.2,LV.AMO,2007,6,2,306,324
LV.AMO.2007.6.3,LV.AMO,2007,6,3,349,917
LV.AMO.2007.6.4,LV.AMO,2007,6,4,251,397
LV.AMO.2007.6.5,LV.AMO,2007,6,5,267,806
LV.AMO.2007.7.1,LV.AMO,2007,7,1,167,544
LV.AMO.2007.7.2,LV.AMO,2007,7,2,132,290
LV.AMO.2007.7.3,LV.AMO,2007,7,3,493,359
LV.AMO.2007.7.4,LV.AMO,2007,7,4,162,269
LV.AMO.2007.7.5,LV.AMO,2007,7,5,238,708
LV.AMO.2007.8.1,LV.AMO,2007,8,1,260,188
LV.AMO.2007.8.2,LV.AMO,2007,8,2,226,1151
LV.AMO.2007.8.3,LV.AMO,2007,8,3,191,299
LV.AMO.2007.8.4,LV.AMO,2007,8,4,700,729
LV.AMO.2007.8.5,LV.AMO,2007,8,5,562,845
LV.AMO.2007.9.1,LV.AMO,2007,9,1,306,395
LV.AMO.2007.9.2,LV.AMO,2007,9,2,320,665
LV.AMO.2007.9.3,LV.AMO,2007,9,3,392,410
LV.AMO.2007.9.4,LV.AMO,2007,9,4,340,451
LV.AMO.2007.9.5,LV.AMO,2007,9,5,399,463
LV.AMO.2007.10.1,LV.AMO,2007,10,1,94,233
LV.AMO.2007.10.2,LV.AMO,2007,10,2,284,625
LV.AMO.2007.10.3,LV.AMO,2007,10,3,188,589
LV.AMO.2007.10.4,LV.AMO,2007,10,4,322,571
LV.AMO.2007.10.5,LV.AMO,2007,10,5,490,603
LV.AMO.2007.11.1,LV.AMO,2007,11,1,129,972
LV.AMO.2007.11.2,LV.AMO,2007,11,2,140,618
